file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,6
style.css,2,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,33
style.css,3,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,33
style.css,4,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,5,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,6,css,c6a3ad04,jackyzhangkaijie@outlook.com,2025-01-10,18:59:56,-08:00,2025-01-10T18:59:56-08:00,0,5
style.css,7,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,16
style.css,8,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,19
style.css,9,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,12
style.css,10,css,c6a3ad04,jackyzhangkaijie@outlook.com,2025-01-10,18:59:56,-08:00,2025-01-10T18:59:56-08:00,0,24
style.css,11,css,b1548763,Kaijie Zhang (Laplace),2025-01-25,23:20:34,-08:00,2025-01-25T23:20:34-08:00,0,18
style.css,12,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,13,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,15
style.css,14,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,17
style.css,15,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,16,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,17,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,4
style.css,18,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,13
style.css,19,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,18
style.css,20,css,b1548763,Kaijie Zhang (Laplace),2025-01-25,23:20:34,-08:00,2025-01-25T23:20:34-08:00,0,40
style.css,21,css,b1548763,Kaijie Zhang (Laplace),2025-01-25,23:20:34,-08:00,2025-01-25T23:20:34-08:00,0,44
style.css,22,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,23,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,24,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,6
style.css,25,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,7
style.css,26,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,21
style.css,27,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,14
style.css,28,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,18
style.css,29,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,14
style.css,30,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,31,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,32,css,b1548763,Kaijie Zhang (Laplace),2025-01-25,23:20:34,-08:00,2025-01-25T23:20:34-08:00,0,14
style.css,33,css,b1548763,Kaijie Zhang (Laplace),2025-01-25,23:20:34,-08:00,2025-01-25T23:20:34-08:00,0,46
style.css,34,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,21
style.css,35,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,36,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,37,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,12
style.css,38,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,46
style.css,39,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,21
style.css,40,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,49
style.css,41,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,42,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,43,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,44,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,5
style.css,45,css,b1548763,Kaijie Zhang (Laplace),2025-01-25,23:20:34,-08:00,2025-01-25T23:20:34-08:00,0,17
style.css,46,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,13
style.css,47,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,31
style.css,48,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,8
style.css,49,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,16
style.css,50,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,14
style.css,51,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,52,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,53,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,10
style.css,54,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,14
style.css,55,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,14
style.css,56,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,11
style.css,57,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,22
style.css,58,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,59,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,0
style.css,60,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,12
style.css,61,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,13
style.css,62,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,11
style.css,63,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,18
style.css,64,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,22
style.css,65,css,6be0f658,Kaijie Zhang (Laplace),2025-01-17,20:06:07,-08:00,2025-01-17T20:06:07-08:00,0,19
